RESPALDO DE PRODUCTOS - 20-04-2026 16:38
Servidor: 192.168.0.100 | Base de datos: dbecosur | Total: 34118 productos
==============================================================================================================
ID       DESCRIPCION                                                         PVP_SUGERIDO EST    CODIGOS_BARRA
--------------------------------------------------------------------------------------------------------------
30703    0.999 FINE GOLD 100 ML.E.DE P.WOMAN                                            - ACTV   3436665081509
38088    100% FLOWER EDP. SPRAY 100 ML.                                                 - ACTV   6000137|6930446807946|6937372299258
26964    100% SEXY LOVER WOM 100+25ML+LOC+GEL EDP SP ROSADO                             - ACTV   163630
26963    100% SEXY WOM 100+25ML+LOC+GEL EDP SP ROJO                                     - ACTV   163629
14922    11ANAT DES. SPRAY ANT. NATURAL 175 ML.                                         - ACTV   7792816002660
33053    212 WOMEN 100ML                                                                - ACTV   8439827505030
39880    2CHIC.AC.A.FRIZ.KA/AL250ML                                                $4,990 ACTV   716237185587
39895    2CHIC.AC.BLA&COCO 250ML                                                   $4,990 ACTV   716237184818
39881    2CHIC.AC.HIDRA.PA&OLV250ML                                                $4,990 ACTV   716237184016
42990    2CHIC.ACO.A.FRIZ.KA/AL250                                                 $4,990 ACTV   716237185372
42994    2CHIC.ACO.REPA.BLA&COC250                                                 $4,990 ACTV   716237199018
42991    2CHIC.MASC.A.FRIZ.KA/A150                                                 $5,990 ACTV   716237185389
42992    2CHIC.MASC.A.FRIZ.KA/A150                                                 $5,990 ACTV   716237185594
42987    2CHIC.MASC.HIDRA.PA&OL147                                                 $5,990 ACTV   716237184023
42988    2CHIC.MASC.REPA.BL&COC150                                                 $5,990 ACTV   716237184825
42995    2CHIC.MASC.REPA.BL&COC150                                                 $5,990 ACTV   716237199025
42989    2CHIC.SH.A.FRIZ.KA/ALM250                                                 $4,990 ACTV   716237185365
39894    2CHIC.SH.DUAL FRIZZ250ML                                                  $4,990 ACTV   716237185570
39896    2CHIC.SH.HIDRA.PA&OLB250ML                                                $4,990 ACTV   716237184009
42993    2CHIC.SH.REPA.BLA&COCO250                                                 $4,990 ACTV   716237199001
39879    2CHIC.SH.REPA.BLA&COCO250ML                                               $4,990 ACTV   716237184801
29145    3-A OFTENO SOL OFT. 0.1% 5 ML.                                           $23,090 ACTV   736085445053
43020    3A OFTENO SOL.OFT.0,1%5ML                                                $23,090 ACTV   736085402551
43022    3A OFTENO SOL.OFT.0,1%5ML                                                $23,090 ACTV   736085410099
44981    3M NEXCARE CINT.QUIRU.12                                                       - ACTV   7702098035928
28339    3VITQ10 30.CAPS. SUPLALIM                                                      - ACTV   7804616660589
15201    4,3,2,1 MINCEUR BOT. 500CC                                               $14,545 ACTV   3578830116118|3578830136161
32810    4-CER GTS.30ML                                                                 - ACTV   7800085000437
34286    4-CER JBE.250ML                                                                - ACTV   7800085000062
47525    451 COL.ING.400ML. 413                                                    $4,190 ACTV   7804945004146
18210    4711 ED/COLOGNE 200 ML                                                         - ACTV   4011700740062
18201    4711 ED/COLOGNE 400 ML                                                         - ACTV   4011700740048
28280    5TH. AVENUE 75 ML SP E.ARDEN                                                   - ACTV   085805390501|85805390501
18209    5TH. AVENUE AFTER FIVE 125ML SP EDP                                            - ACTV   085805043476|85805043476
27211    5TH. AVENUE AFTER FIVE 75ML SP E.ARDEN                                         - ACTV   085805004088|85805004088
16144    5TH. AVENUE ELIZAB. ARDEN 125 ML SP.                                           - ACTV   085805390600|85805390600
17092    5TH. AVENUE NIGHTS 125 ML SP E.ARDEN                                           - ACTV   085805086541|85805086541
29627    5TH. AVENUE NYC 125ML SP E.ARDEN                                               - ACTV   085805156602|85805156602
39250    5TH.AVENUE E.GARDE 75ML.                                                       - ACTV   085805156596
46276    7 UP ZERO LIMA/LIMON 500M                                                   $990 ACTV   7801620855185
30704    818 GOLD 100ML.E.DE P.WOMAN                                                    - ACTV   3436665079162
18423    A D LASTING COLLOR 00 2X1                                                      - ACTV   184032
20448    A D RUBOR COMPACTO 810                                                         - ACTV   780498518163
20460    A D SOMBRA X 4 800                                                             - ACTV   780498518027
20454    A D SOMBRA X 4 810                                                             - ACTV   780498518029
20458    A D SOMBRA X 4 860                                                             - ACTV   780498518592
17955    A SCENT BY ISSEY MIYAKE  DAMA 30ML                                             - ACTV   3423470394009
37636    A SCENT BY ISSEY MIYAKE 50ML DAMA                                              - ACTV   3423470394016
14285    A-14 HYPERICUM COMP 30 ML ANTIRREUMATICO                                       - ACTV   7803501000745
14286    A-25 ALGAS MARINAS C/OLIVO 30 ML ANTIHIPERTENSIVO                              - ACTV   7803501000950
24745    A-DERMA DERMOPAN JABON 100GR.                                             $5,990 ACTV   3282779000338
43438    A-OXITIVE CR.CONT.OJO.15M                                                $33,990 ACTV   3282770208214
43436    A-OXITIVE CR.DIA A/AR.30M                                                $34,990 ACTV   3282770208139
43439    A-OXITIVE CR.NOC C/REN.30                                                $35,490 ACTV   3282770208245
43437    A-OXITIVE SERUM A.OXI 30ML                                               $35,490 ACTV   3282770208177
17036    A.BAND.ANTONIO 100ML                                                           - ACTV   000661243174|661243174
28176    A.BAND.ANTONIO 100ML+DES.SP.150ML                                        $17,990 ACTV   8411061635575
29621    A.BAND.ANTONIO SP.15ML.                                                        - ACTV   000661163786|661163786
17948    A.BAND.ANTONIO SP.30ML                                                    $6,590 ACTV   000661163793|661163793
14273    A.BAND.ANTONIO SP.50ML+AFT.SH.50ML                                       $12,790 ACTV   8411061635513|8411061669877
22931    A.BAND.ANTONIO SP.50ML.                                                  $11,390 ACTV   8411061592113
