i_idProducto	s_codigoBarra	dc_pvpSugerido	dt_fechaPVPS
76	7800020048319	22890.0000	2024-02-13 00:00:00
80	8710428999481	25590.0000	2024-02-13 00:00:00
83	8710428997999	25590.0000	2024-02-13 00:00:00
111	7501033956768	5790.0000	2024-02-13 00:00:00
142	7800009745390	17740.0000	2024-02-13 00:00:00
143	7800009745406	37060.0000	2024-02-13 00:00:00
162	7896548167373	40790.0000	2024-02-13 00:00:00
164	7896548134689	28660.0000	2024-02-13 00:00:00
173	5413895026119	28190.0000	2024-02-13 00:00:00
188	5413895015779	38390.0000	2024-02-13 00:00:00
200	7805256908109	24790.0000	2024-02-13 00:00:00
202	4104480705199	5190.0000	2024-02-13 00:00:00
205	7805256908093	35090.0000	2024-02-13 00:00:00
214	7800002001158	30640.0000	2024-02-13 00:00:00
219	7805256000117	30290.0000	2024-02-13 00:00:00
270	7800018110196	5090.0000	2024-02-13 00:00:00
282	7804636590057	40990.0000	2024-02-13 00:00:00
295	7800018125442	63940.0000	2024-02-13 00:00:00
304	7800034514022	13890.0000	2024-02-13 00:00:00
305	7800034515982	10690.0000	2024-02-13 00:00:00
306	7800034518204	12590.0000	2024-02-13 00:00:00
307	7800018123356	14940.0000	2024-02-13 00:00:00
308	7800018119106	11590.0000	2024-02-13 00:00:00
310	7800018119090	9990.0000	2024-02-13 00:00:00
322	7800018111483	26890.0000	2024-02-13 00:00:00
323	7800018110936	27580.0000	2024-02-13 00:00:00
324	7800018112114	24890.0000	2024-02-13 00:00:00
334	5702191011012	31590.0000	2024-02-13 00:00:00
338	7800039200555	40990.0000	2024-02-13 00:00:00
339	7800039200548	31090.0000	2024-02-13 00:00:00
350	7800018123967	14790.0000	2024-02-13 00:00:00
367	7800034503064	54590.0000	2024-02-13 00:00:00
386	7800018117218	23190.0000	2024-02-13 00:00:00
387	7800018117225	23190.0000	2024-02-13 00:00:00
388	7800018117232	25390.0000	2024-02-13 00:00:00
415	7800018108193	10690.0000	2024-02-13 00:00:00
416	7800018107431	18390.0000	2024-02-13 00:00:00
438	7800018129334	23890.0000	2024-02-13 00:00:00
457	7800039210752	19790.0000	2024-02-13 00:00:00
484	7800018123929	63790.0000	2024-02-13 00:00:00
734	7800057000403	17090.0000	2024-02-13 00:00:00
736	7800057001486	4290.0000	2024-02-13 00:00:00
752	7800057001776	7190.0000	2024-02-13 00:00:00
753	7800023000017	9590.0000	2024-02-13 00:00:00
771	7800028009381	40090.0000	2024-02-13 00:00:00
773	7800028001590	12795.0000	2024-02-13 00:00:00
777	7800028002580	10280.0000	2024-02-13 00:00:00
794	7800028841486	14290.0000	2024-02-13 00:00:00
801	7800028112104	4180.0000	2024-02-13 00:00:00
802	7800028112197	15450.0000	2024-02-13 00:00:00
809	7800028005802	3690.0000	2024-02-13 00:00:00
828	7800028000357	2790.0000	2024-02-13 00:00:00
836	7800028210350	11090.0000	2024-02-13 00:00:00
837	7800028210602	6090.0000	2024-02-13 00:00:00
838	7800028310296	18690.0000	2024-02-13 00:00:00
839	7800028000852	13490.0000	2024-02-13 00:00:00
840	7800028310661	11090.0000	2024-02-13 00:00:00
841	7800028009374	8190.0000	2024-02-13 00:00:00
842	7800028310173	15990.0000	2024-02-13 00:00:00
863	7800028841561	17690.0000	2024-02-13 00:00:00
864	7800028842346	24090.0000	2024-02-13 00:00:00
867	7800028002719	16240.0000	2024-02-13 00:00:00
868	7800028081110	15590.0000	2024-02-13 00:00:00
874	7800028000593	8090.0000	2024-02-13 00:00:00
880	7800028841943	9390.0000	2024-02-13 00:00:00
882	7800028310425	18990.0000	2024-02-13 00:00:00
946	7891106000154	31890.0000	2024-02-13 00:00:00
957	7891106000185	4290.0000	2024-02-13 00:00:00
977	7800042803750	19390.0000	2024-02-13 00:00:00
980	7793640216377	7890.0000	2024-02-13 00:00:00
981	7793640216391	12390.0000	2024-02-13 00:00:00
1132	5000223421946	890.0000	2024-02-13 00:00:00
1156	4005800178399	13990.0000	2024-02-13 00:00:00
1164	4005800178368	17990.0000	2024-02-13 00:00:00
1184	4005800137358	9990.0000	2024-02-13 00:00:00
1185	4005808229345	10990.0000	2024-02-13 00:00:00
1186	4005808250004	9990.0000	2024-02-13 00:00:00
1230	7805330203335	14690.0000	2024-02-13 00:00:00
1276	7800059002665	12190.0000	2024-02-13 00:00:00
1277	7800059002672	7890.0000	2024-02-13 00:00:00
1325	4048846006455	24990.0000	2024-02-13 00:00:00
1330	7896026304993	34090.0000	2024-02-13 00:00:00
1344	4048846008626	6590.0000	2024-02-13 00:00:00
1346	7501037910025	24390.0000	2024-02-13 00:00:00
1371	7795304000476	19390.0000	2024-02-13 00:00:00
1373	7795304866713	37580.0000	2024-02-13 00:00:00
1374	7795304000483	16290.0000	2024-02-13 00:00:00
1427	7795990001467	64290.0000	2024-02-13 00:00:00
1471	7800041043850	8790.0000	2024-02-13 00:00:00
1478	7800041047605	6390.0000	2024-02-13 00:00:00
1479	7800041047629	9490.0000	2024-02-13 00:00:00
1480	7800041047643	6590.0000	2024-02-13 00:00:00
1500	7800007143389	3660.0000	2024-02-13 00:00:00
1505	7800007141330	5490.0000	2024-02-13 00:00:00
1512	7800007727374	33990.0000	2024-02-13 00:00:00
1513	7800007337313	36090.0000	2024-02-13 00:00:00
1522	7800007491152	28990.0000	2024-02-13 00:00:00
1523	7800007744623	29390.0000	2024-02-13 00:00:00
1527	7800007492630	17390.0000	2024-02-13 00:00:00
1531	7800007775931	17590.0000	2024-02-13 00:00:00
1539	7800007394620	29090.0000	2024-02-13 00:00:00
1552	7800007552044	34390.0000	2024-02-13 00:00:00
1554	7800007391872	26890.0000	2024-02-13 00:00:00
1565	7800007179579	12740.0000	2024-02-13 00:00:00
1567	7800007102195	11370.0000	2024-02-13 00:00:00
1569	7800007554925	8290.0000	2024-02-13 00:00:00
1570	7800007423153	12390.0000	2024-02-13 00:00:00
1575	7800007187833	14190.0000	2024-02-13 00:00:00
1576	7800007188212	13740.0000	2024-02-13 00:00:00
1587	7800007420992	19940.0000	2024-02-13 00:00:00
1590	7800007110459	16790.0000	2024-02-13 00:00:00
1593	7800007479020	14890.0000	2024-02-13 00:00:00
1594	7800007313645	9490.0000	2024-02-13 00:00:00
1595	7800007479297	14890.0000	2024-02-13 00:00:00
1599	7800007339799	27790.0000	2024-02-13 00:00:00
1610	7800007407627	5590.0000	2024-02-13 00:00:00
1614	7800007305978	18990.0000	2024-02-13 00:00:00
1629	7800007355997	18460.0000	2024-02-13 00:00:00
1630	7800007422262	14690.0000	2024-02-13 00:00:00
1642	7800007403636	6040.0000	2024-02-13 00:00:00
1655	7800007168610	27490.0000	2024-02-13 00:00:00
1656	7800007163653	26290.0000	2024-02-13 00:00:00
1667	7800007385550	25390.0000	2024-02-13 00:00:00
